event_id,event_campaign_id,exposure_id,contract_id,matching_rule,geography_basis,category_proxy,source_url,published_date,evidence_summary
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-01682,289083.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-01695,Z21MM003/030.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-01732,02012022AM04.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-01819,20210000363J.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-01903,M210028.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-01914,03/2022.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02012,MS220006.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02090,20220000016C.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02301,152022PA1002.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02419,2022/SP02002001/00000555E.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02562,PASA/2022/013/GCE.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02598,289101.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02602,2022/EA26/00000444E.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02610,2021/53.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02638,02012022AA04.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02651,452.A 221.00.01/2022.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02664,2022kXl00053.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02703,290846.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02760,2021/0004P.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02824,PASA/2022/013/GCE.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02919,Z22CO002/060.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
EVT-2022-001,CAMPAIGN-EU-SANCTIONS-2022,BOE-02937,2022/EA24/00000198E.,trade_restriction_sectoral_scope,national,energy and public procurement,https://www.consilium.europa.eu/en/press/press-releases/2022/04/08/eu-adopts-fifth-round-of-sanctions-against-russia-over-its-military-aggression-against-ukraine/,2022-04-08,The Council announced a fifth package of measures including restrictions affecting Russian imports and public procurement participation.
